Institute,Ranking,Location,ShortDescription,LongDescription,ApplicationDeadline_Masters,ApplicationDeadline_Phd,Application_Fees_US_Resident,Application_Fees_International_Resident,Admissions_Phone,Admissions_Email,Application_URL,Website,FullTimeFaculty,Phd_Student_Ratio,FemalePercentage,MalePercentage,Tuition_masters_full_time,Tuition_masters_part_time,Tuition_doctoral_full_time,Page_URL
University of Alaska--Fairbanks,#152-200," • Fairbanks, AK","The College of Engineering and Mines at University of Alaska--Fairbanks has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $11,642 per year (in-state); full-time: $21,830 per year (out-of-state); part-time: $7,762 per year (in-state); and part-time: $14,554 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.2:1. The College of Engineering and Mines at University of Alaska--Fairbanks has 33 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementFairbanks, AKExplore Map", 06/01, 06/01, $75, $75, (800) 478-1823,uaf-admissions@alaska.edu,http://www.uaf.edu/admissions/apply,http://www.cem.uaf.edu/, 33, 0.2:1,33.3%,66.7%,"$11,642 per year (in-state)","$7,762 per year (in-state)","$11,642 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-alaska-fairbanks-02228
University of Arkansas--Little Rock (Donaghey),#152-200," • Little Rock, AR","The Donaghey College of Science, Technology, Engineering, and Mathematics at University of Arkansas--Little Rock (Donaghey) has a rolling application deadline. The application fee is $40 for U.S. residents and $40 for international students. Its tuition is full-time: $345 per credit (in-state); full-time: $740 per credit (out-of-state); part-time: $345 per credit (in-state); and part-time: $740 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.5:1. The Donaghey College of Science, Technology, Engineering, and Mathematics at University of Arkansas--Little Rock (Donaghey) has 23 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 0.00%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementLittle Rock, ARExplore Map", 04/15, 04/15, $40, $40, (501) 916-6213,gradschool@ualr.edu,https://ualr.edu/gradschool/graduate-application/,https://ualr.edu/gradschool/, 23, 3.5:1,29.4%,70.6%,$345 per credit (in-state),$345 per credit (in-state),$345 per credit (in-state),https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-arkansas-at-little-rock-02277
University of Colorado--Colorado Springs,#152-200," • Colorado Springs, CO","The College of Engineering and Applied Science at University of Colorado--Colorado Springs has a rolling application deadline. The application fee is $60 for U.S. residents and $100 for international students. Its tuition is full-time: $746 per credit (in-state); full-time: $1,314 per credit (out-of-state); part-time: $767 per credit (in-state); and part-time: $1,335 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.3:1. The College of Engineering and Applied Science at University of Colorado--Colorado Springs has 37 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementColorado Springs, COExplore Map", 05/01, 01/01, $60, $100, (719) 255-3088,gradinfo@uccs.edu,https://www.uccs.edu/admissionsenrollment/apply-graduate-student,https://www.uccs.edu/, 37, 0.3:1,15.4%,84.6%,$746 per credit (in-state),$767 per credit (in-state),$746 per credit (in-state),https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-colorado-at-colorado-springs-02033
University of Detroit Mercy,#152-200," • Detroit, MI",The College of Engineering and Science at University of Detroit Mercy has a rolling application deadline. The application fee is $0 for U.S. residents and $0 for international students. Its tuition is full-time: $840 per credit and part-time: $840 per credit. The 2021 Ph.D. student-faculty ratio is 0.9:1. The College of Engineering and Science at University of Detroit Mercy has 23 full-time faculty on staff.,"Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementDetroit, MIExplore Map", N/A, N/A, $0, $0, (313) 993-1245,admissions@udmercy.edu,https://www.udmercy.edu/admission/apply.php,https://www.udmercy.edu/, 23, 0.9:1,14.9%,85.1%, $840 per credit, $840 per credit, $840 per credit,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-detroit-mercy-02087
University of Hawaii--Manoa,#152-200," • Honolulu, HI","The College of Engineering at University of Hawaii--Manoa has a rolling application deadline. The application fee is $100 for U.S. residents and $100 for international students. Its tuition is full-time: $10,400 per year (in-state); full-time: $22,432 per year (out-of-state); part-time: $650 per credit (in-state); and part-time: $1,402 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.3:1. The College of Engineering at University of Hawaii--Manoa has 51 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementHonolulu, HIExplore Map", N/A, N/A, $100, $100, (808) 956-8544,graduate.admissions@hawaii.edu,http://www.manoa.hawaii.edu/graduate/content/how-apply,https://www.eng.hawaii.edu/, 51, 1.3:1,25.9%,74.1%,"$10,400 per year (in-state)",$650 per credit (in-state),"$10,400 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-hawaii-manoa-02050
University of Louisiana--Lafayette,#152-200," • Lafayette, LA","The College of Engineering at University of Louisiana--Lafayette has a rolling application deadline. The application fee is $25 for U.S. residents and $30 for international students. Its tuition is full-time: $5,511 per year (in-state); full-time: $19,239 per year (out-of-state); part-time: $563 per year (in-state); and part-time: $1,325 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.2:1. The College of Engineering at University of Louisiana--Lafayette has 53 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementLafayette, LAExplore Map", N/A, N/A, $25, $30, (337) 482-6467,gradschool@louisiana.edu,http://gradschool.louisiana.edu/forms/index.shtml,http://engineering.louisiana.edu/, 53, 2.2:1,27.8%,72.2%,"$5,511 per year (in-state)",$563 per year (in-state),"$5,511 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-louisiana-at-lafayette-02071
University of Massachusetts--Dartmouth,#152-200," • North Dartmouth, MA","The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $16,390 per year (in-state); full-time: $29,578 per year (out-of-state); part-time: $683 per credit (in-state); and part-time: $1,232 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.7:1. The College of Engineering at University of Massachusetts--Dartmouth has 54 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementNorth Dartmouth, MAExplore Map", 02/15, 02/01, $60, $60, (508) 999-8604,graduate@umassd.edu,http://www.umassd.edu/graduate/apply,http://www.umassd.edu/engineering/graduate, 54, 0.7:1,23.1%,76.9%,"$16,390 per year (in-state)",$683 per credit (in-state),"$16,390 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-massachusetts-dartmouth-02079
University of Memphis (Herff),#152-200," • Memphis, TN",The Herff College of Engineering at University of Memphis (Herff) has a rolling application deadline. The application fee is $35 for U.S. residents and $60 for international students. Its tuition is full-time: $606 per credit (in-state); full-time: $808 per credit (out-of-state); part-time: $606 per credit (in-state); and part-time: $808 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.5:1. The Herff College of Engineering at University of Memphis (Herff) has 72 full-time faculty on staff.,"Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementMemphis, TNExplore Map", 07/01, 07/01, $35, $60, (901) 678-3685,graduateadmissions@memphis.edu,https://www.memphis.edu/graduateadmissions/future/apply_grad.php,https://www.memphis.edu/herff/, 72, 1.5:1,38.8%,61.2%,$606 per credit (in-state),$606 per credit (in-state),$606 per credit (in-state),https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-memphis-02165
University of Mississippi,#152-200," • University, MS","The School of Engineering at University of Mississippi has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $8,938 per year (in-state); full-time: $25,782 per year (out-of-state); part-time: $497 per credit (in-state); and part-time: $1,432 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.1:1. The School of Engineering at University of Mississippi has 55 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementUniversity, MSExplore Map", 04/01, 04/01, $60, $60, (662) 915-7911,gschool@olemiss.edu,http://www.gradschool.olemiss.edu/,http://www.engineering.olemiss.edu/, 55, 1.1:1,26.9%,73.1%,"$8,938 per year (in-state)",$497 per credit (in-state),"$8,938 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-mississippi-main-campus-02093
University of Nevada--Las Vegas (Hughes),#152-200," • Las Vegas, NV","The Howard R. Hughes College of Engineering at University of Nevada--Las Vegas (Hughes) has a rolling application deadline. The application fee is $60 for U.S. residents and $95 for international students. Its tuition is full-time: $5,499 per year (in-state); full-time: $24,241 per year (out-of-state); part-time: $306 per credit (in-state); and part-time: $642 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.6:1. The Howard R. Hughes College of Engineering at University of Nevada--Las Vegas (Hughes) has 71 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementLas Vegas, NVExplore Map", 08/01, 08/01, $60, $95, (702) 895-3320,gradcollege@unlv.edu,https://www.unlv.edu/graduatecollege/futurestudents,https://www.unlv.edu/engineering, 71, 1.6:1,20.2%,79.8%,"$5,499 per year (in-state)",$306 per credit (in-state),"$5,499 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-nevada-las-vegas-02203
University of New Orleans,#152-200," • New Orleans, LA","The College of Engineering at University of New Orleans has a rolling application deadline. The application fee is $45 for U.S. residents and $45 for international students. Its tuition is full-time: $7,302 per year (in-state) and full-time: $12,852 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.4:1. The College of Engineering at University of New Orleans has 27 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementNew Orleans, LAExplore Map", 07/01, 07/01, $45, $45, (504) 280-4428,pec@uno.edu,https://www.uno.edu/admissions,http://www.uno.edu/, 27, 0.4:1,36.7%,63.3%,"$7,302 per year (in-state)", N/A,"$7,302 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-new-orleans-02070
University of North Carolina--Charlotte (W.S. Lee),#152-200," • Charlotte, NC","The William States Lee College of Engineering at University of North Carolina--Charlotte (W.S. Lee) has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $6,137 per year (in-state); full-time: $19,571 per year (out-of-state); part-time: $3,409 per year (in-state); and part-time: $8,898 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.4:1. The William States Lee College of Engineering at University of North Carolina--Charlotte (W.S. Lee) has 100 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementCharlotte, NCExplore Map", 08/01, 08/01, $75, $75, (704) 687-5503,gradcounselor@uncc.edu,https://gradadmissions.charlotte.edu/apply,http://graduateschool.charlotte.edu/, 100, 1.4:1,33.3%,66.7%,"$6,137 per year (in-state)","$3,409 per year (in-state)","$6,137 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-north-carolina-at-charlotte-02134
University of Rhode Island,#152-200," • Kingston, RI","The application fee is $65 for U.S. residents and $65 for international students. Its tuition is full-time: $14,454 per year (in-state); full-time: $27,906 per year (out-of-state); part-time: $803 per credit (in-state); and part-time: $1,550 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.4:1. The College of Engineering at University of Rhode Island has 65 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementKingston, RIExplore Map", 07/15, 07/15, $65, $65, (401) 874-2263,urigrad@etal.uri.edu,https://web.uri.edu/graduate-school/admission/,https://web.uri.edu/graduate-school/, 65, 1.4:1,40.2%,59.8%,"$14,454 per year (in-state)",$803 per credit (in-state),"$14,454 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-rhode-island-02160
University of Southern Mississippi,#152-200," • Hattiesburg, MS",The School of Polymer Science and Engineering at University of Southern Mississippi has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is part-time: $506 per credit (in-state) and part-time: $618 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 6.7:1. The School of Polymer Science and Engineering at University of Southern Mississippi has 11 full-time faculty on staff.,"Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementHattiesburg, MSExplore Map", N/A, N/A, $60, $60, (601) 266-4369,graduateschool@usm.edu,http://www.usm.edu/graduate-school,http://www.usm.edu/graduate-school, 11, 6.7:1,,, N/A,$506 per credit (in-state),$506 per credit (in-state),https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-southern-mississippi-02441
University of Tennessee--Chattanooga,#152-200," • Chattanooga, TN",The College of Engineering and Computer Science at University of Tennessee--Chattanooga has a rolling application deadline. The application fee is $35 for U.S. residents and $40 for international students. Its tuition is full-time: $478 per credit (in-state); full-time: $926 per credit (out-of-state); part-time: $478 per credit (in-state); and part-time: $926 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.3:1. The College of Engineering and Computer Science at University of Tennessee--Chattanooga has 54 full-time faculty on staff.,"Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementChattanooga, TNExplore Map", N/A, 02/01, $35, $40, (423) 425-4666,ethan-carver@utc.edu,http://www.utc.edu/apply/,https://www.utc.edu/college-engineering-computer-science/, 54, 0.3:1,16.7%,83.3%,$478 per credit (in-state),$478 per credit (in-state),$478 per credit (in-state),https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-tennessee-chattanooga-02409
University of Texas--San Antonio (Klesse),#152-200," • San Antonio, TX","The application fee is $50 for U.S. residents and $90 for international students. Its tuition is full-time: $7,576 per year (in-state); full-time: $25,523 per year (out-of-state); part-time: $4,830 per year (in-state); and part-time: $16,796 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.4:1. The Klesse College of Engineering and Integrated Design at University of Texas--San Antonio (Klesse) has 144 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementSan Antonio, TXExplore Map", 04/01, 02/01, $50, $90, (210) 458-4331,graduateadmissions@utsa.edu,http://graduateschool.utsa.edu/admissions/graduate-application/,http://graduateschool.utsa.edu/, 144, 1.4:1,37.6%,62.4%,"$7,576 per year (in-state)","$4,830 per year (in-state)","$7,576 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/the-university-of-texas-at-san-antonio-02257
University of Toledo,#152-200," • Toledo, OH","The College of Engineering at University of Toledo has a rolling application deadline. The application fee is $45 for U.S. residents and $75 for international students. Its tuition is full-time: $615 per credit (in-state); full-time: $1,079 per credit (out-of-state); part-time: $615 per credit (in-state); and part-time: $1,079 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.2:1. The College of Engineering at University of Toledo has 53 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementToledo, OHExplore Map", 06/01, 06/01, $45, $75, (419) 530-4723,grdsch@utnet.utoledo.edu,https://www.utoledo.edu/graduate/apply/,https://www.utoledo.edu/graduate/prospectivestudents/, 53, 1.2:1,26.1%,73.9%,$615 per credit (in-state),$615 per credit (in-state),$615 per credit (in-state),https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-toledo-02144
